0	0
200000	0.7311
400000	1.4604
600000	2.1862
800000	2.9068
1000000	3.6203
1200000	4.3251
1221000.5	4.4002
1400000	4.9413
1600000	5.5548
1800000	6.1669
2000000	6.7715
2200000	7.3645
2400000	7.9425
2600000	8.5023
2800000	9.0414
3000000	9.557
3200000	10.0464
3400000	10.5065
3480000	10.6823
3600000	10.5204
3630000	10.4844
3800000	10.3095
4000000	10.158
4200000	10.0535
4400000	9.9859
4600000	9.9474
4800000	9.9314
5000000	9.9326
5200000	9.9467
5400000	9.9698
5600000	9.9985
5701000	10.0143
5771000	10.0038
5871000	9.9883
5971000	9.9686
6061000	9.9361
6151000	9.9048
6221000	9.8783
6291000	9.8553
6346000.6	9.8394
6356000	9.8332
6368000	9.8222
6371000	9.8156
